id,class,reactants>reagents>production
US20090054398A1,2,[NH2:26][C@H:27]1[C:28](=[O:29])[NH:30][c:31]2[cH:32][cH:33][cH:34][cH:35][c:36]2[S:37][C@H:38]1[c:39]1[cH:40][cH:41][cH:42][cH:43][cH:44]1.[O:1]=[C:2]([CH2:3][c:4]1[cH:5][c:6]([F:7])[cH:8][c:9]([F:10])[cH:11]1)[NH:12][C@@H:13]([CH2:14][c:15]1[cH:16][c:17]2[cH:18][cH:19][cH:20][cH:21][c:22]2[nH:23]1)[C:24](=[O:25])[OH:45]>>[O:1]=[C:2]([CH2:3][c:4]1[cH:5][c:6]([F:7])[cH:8][c:9]([F:10])[cH:11]1)[NH:12][C@@H:13]([CH2:14][c:15]1[cH:16][c:17]2[cH:18][cH:19][cH:20][cH:21][c:22]2[nH:23]1)[C:24](=[O:25])[NH:26][C@@H:27]1[C:28](=[O:29])[NH:30][c:31]2[cH:32][cH:33][cH:34][cH:35][c:36]2[S:37][C@@H:38]1[c:39]1[cH:40][cH:41][cH:42][cH:43][cH:44]1
US20070066624A1,2,[CH3:1][N:2]=[C:3]=[O:4].[NH:5]1[CH2:6][C@@H:7]([c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[N:14]([CH:15]2[CH2:16][CH2:17][N:18]([C:19](=[O:20])[O:21][C:22]([CH3:23])([CH3:24])[CH3:25])[CH2:26][CH2:27]2)[C:28]1=[O:29]>>[CH3:1][NH:2][C:3](=[O:4])[N:5]1[CH2:6][C@@H:7]([c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[N:14]([CH:15]2[CH2:16][CH2:17][N:18]([C:19](=[O:20])[O:21][C:22]([CH3:23])([CH3:24])[CH3:25])[CH2:26][CH2:27]2)[C:28]1=[O:29]
US20150259351A1,1,[CH3:1][C@@H:2]([NH3+:3])[CH:11]1[CH2:12][CH2:13][O:14][CH2:15][CH2:16]1.[c:4]1([F:24])[n:5][cH:6][cH:7][cH:8][c:9]1[I:10]>>[CH3:1][C@@H:2]([NH:3][c:4]1[n:5][cH:6][cH:7][cH:8][c:9]1[I:10])[CH:11]1[CH2:12][CH2:13][O:14][CH2:15][CH2:16]1
US09067921B2,6,[CH3:1][C@H:2]1[CH2:3][N:4]([C:26]([O:25][C:22]([CH3:21])([CH3:23])[CH3:24])=[O:27])[CH2:5][CH2:6][N:7]1[CH:8]1[CH2:9][CH2:10][c:11]2[cH:12][cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[cH:19][c:20]21>>[CH3:1][C@H:2]1[CH2:3][NH:4][CH2:5][CH2:6][N:7]1[CH:8]1[CH2:9][CH2:10][c:11]2[cH:12][cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[cH:19][c:20]21
US08791102B2,2,[NH2:10][C@@H:11]([CH2:12][O:13][CH2:14][c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1)[C:21](=[O:22])[NH:23][c:24]1[cH:25][cH:26][c:27]([O:28][c:29]2[cH:30][cH:31][c:32]([F:33])[cH:34][cH:35]2)[cH:36][cH:37]1.[O:1]=[C:2]([CH2:3][c:4]1[cH:5][n:6][cH:7][cH:8][n:9]1)[OH:38]>>[O:1]=[C:2]([CH2:3][c:4]1[cH:5][n:6][cH:7][cH:8][n:9]1)[NH:10][C@@H:11]([CH2:12][O:13][CH2:14][c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1)[C:21](=[O:22])[NH:23][c:24]1[cH:25][cH:26][c:27]([O:28][c:29]2[cH:30][cH:31][c:32]([F:33])[cH:34][cH:35]2)[cH:36][cH:37]1
US20090093459A1,2,[CH3:1][C:2]([CH3:3])([CH3:4])[C:5](=[O:6])[O:7][NH:8][C@@H:9]([CH2:10][S:11][c:12]1[c:13]([NH2:24])[cH:14][cH:15][cH:16][c:17]1-[c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1)[C:25](=[O:26])[OH:27]>>[CH3:1][C:2]([CH3:3])([CH3:4])[C:5](=[O:6])[O:7][NH:8][C@H:9]1[CH2:10][S:11][c:12]2[c:13]([cH:14][cH:15][cH:16][c:17]2-[c:18]2[cH:19][cH:20][cH:21][cH:22][cH:23]2)[NH:24][C:25]1=[O:26]
US20130331561A1,6,[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][c:6]1[cH:7][cH:8][c:9](-[c:10]2[cH:11][c:12]3[cH:13][n:14]([C@H:15]4[CH2:16][C@H:17]([O:18][C:19](=[O:20])[O:21][CH2:22][c:23]5[cH:24][cH:25][cH:26][cH:27][cH:28]5)[C@@H:29]([CH2:30][O:31][Si:44]([C:41]([CH3:40])([CH3:42])[CH3:43])([CH3:45])[CH3:46])[O:32]4)[c:33](=[O:34])[n:35][c:36]3[o:37]2)[cH:38][cH:39]1>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][c:6]1[cH:7][cH:8][c:9](-[c:10]2[cH:11][c:12]3[cH:13][n:14]([C@H:15]4[CH2:16][C@H:17]([O:18][C:19](=[O:20])[O:21][CH2:22][c:23]5[cH:24][cH:25][cH:26][cH:27][cH:28]5)[C@@H:29]([CH2:30][OH:31])[O:32]4)[c:33](=[O:34])[n:35][c:36]3[o:37]2)[cH:38][cH:39]1
US20140336106A1,6,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([C@@H:7]([OH:8])[C@H:9]([NH:10][C:11](=[O:12])[C@@H:13]([NH:14][C:34]([O:33][C:30]([CH3:29])([CH3:31])[CH3:32])=[O:35])[CH2:15][OH:16])[C:17](=[O:18])[O:19][CH2:20][c:21]2[cH:22][cH:23][cH:24][cH:25][cH:26]2)[cH:27][cH:28]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([C@@H:7]([OH:8])[C@H:9]([NH:10][C:11](=[O:12])[C@@H:13]([NH2:14])[CH2:15][OH:16])[C:17](=[O:18])[O:19][CH2:20][c:21]2[cH:22][cH:23][cH:24][cH:25][cH:26]2)[cH:27][cH:28]1
US20100029710A1,7,[CH3:1][CH2:2][c:3]1[n:4][c:5]2[c:6]([CH3:7])[cH:8][c:9]([CH2:10][C:11]([CH3:12])=[O:13])[n:14][c:15]2[n:16]1[C@H:17]1[CH2:18][CH2:19][c:20]2[cH:21][c:22](-[c:23]3[cH:24][cH:25][cH:26][cH:27][c:28]3-[c:29]3[n:30][n:31][n:32][n:33]3[C:34]([c:35]3[cH:36][cH:37][cH:38][cH:39][cH:40]3)([c:41]3[cH:42][cH:43][cH:44][cH:45][cH:46]3)[c:47]3[cH:48][cH:49][cH:50][cH:51][cH:52]3)[cH:53][cH:54][c:55]21>>[CH3:1][CH2:2][c:3]1[n:4][c:5]2[c:6]([CH3:7])[cH:8][c:9]([CH2:10][CH:11]([CH3:12])[OH:13])[n:14][c:15]2[n:16]1[C@H:17]1[CH2:18][CH2:19][c:20]2[cH:21][c:22](-[c:23]3[cH:24][cH:25][cH:26][cH:27][c:28]3-[c:29]3[n:30][n:31][n:32][n:33]3[C:34]([c:35]3[cH:36][cH:37][cH:38][cH:39][cH:40]3)([c:41]3[cH:42][cH:43][cH:44][cH:45][cH:46]3)[c:47]3[cH:48][cH:49][cH:50][cH:51][cH:52]3)[cH:53][cH:54][c:55]21
US20110136800A1,6,[O:1]=[C:2]([O:3][CH3:28])[c:4]1[cH:5][cH:6][c:7]2[c:8]([cH:9]1)[CH2:10][C@H:11]1[C@@H:12]2[CH2:13][CH2:14][CH2:15][N:16]1[C:17](=[O:18])[c:19]1[cH:20][cH:21][c:22]2[nH:23][cH:24][n:25][c:26]2[cH:27]1>>[O:1]=[C:2]([OH:3])[c:4]1[cH:5][cH:6][c:7]2[c:8]([cH:9]1)[CH2:10][C@H:11]1[C@@H:12]2[CH2:13][CH2:14][CH2:15][N:16]1[C:17](=[O:18])[c:19]1[cH:20][cH:21][c:22]2[nH:23][cH:24][n:25][c:26]2[cH:27]1
US09040528B2,6,[CH3:1][C@@H:2]1[O:3][C@H:4]([CH3:5])[CH2:6][N:7]2[c:8]3[c:9]([cH:10][c:11]4[c:12]([N:13]5[CH2:14][CH2:15][N:16]([C:40]([O:39][C:36]([CH3:35])([CH3:37])[CH3:38])=[O:41])[CH2:17][CH2:18]5)[n:19][o:20][c:21]4[c:22]3[F:23])[CH2:24][C:25]3([C:26](=[O:27])[NH:28][C:29](=[O:30])[NH:31][C:32]3=[O:33])[C@@H:34]12>>[CH3:1][C@@H:2]1[O:3][C@H:4]([CH3:5])[CH2:6][N:7]2[c:8]3[c:9]([cH:10][c:11]4[c:12]([N:13]5[CH2:14][CH2:15][NH:16][CH2:17][CH2:18]5)[n:19][o:20][c:21]4[c:22]3[F:23])[CH2:24][C:25]3([C:26](=[O:27])[NH:28][C:29](=[O:30])[NH:31][C:32]3=[O:33])[C@@H:34]12
US20120238547A1,1,[CH3:1][c:2]1[cH:3][c:4]([Cl:5])[n:6][c:7]([Cl:18])[c:14]1[N+:15](=[O:16])[O-:17].[NH:8]1[CH2:9][CH2:10][C@@H:11]([F:12])[CH2:13]1>>[CH3:1][c:2]1[cH:3][c:4]([Cl:5])[n:6][c:7]([N:8]2[CH2:9][CH2:10][C@@H:11]([F:12])[CH2:13]2)[c:14]1[N+:15](=[O:16])[O-:17]
US08778926B2,1,[CH3:1][CH2:2][c:3]1[cH:4][n:5][c:6]([Cl:34])[n:32][cH:33]1.[NH:7]1[CH2:8][CH2:9][CH:10]([C@H:11]2[CH2:12][c:13]3[cH:14][c:15]([C:16]4=[CH:17][CH2:18][N:19]([S:20]([CH3:21])(=[O:22])=[O:23])[CH2:24][CH2:25]4)[n:26][cH:27][c:28]3[O:29]2)[CH2:30][CH2:31]1>>[CH3:1][CH2:2][c:3]1[cH:4][n:5][c:6]([N:7]2[CH2:8][CH2:9][CH:10]([C@H:11]3[CH2:12][c:13]4[cH:14][c:15]([C:16]5=[CH:17][CH2:18][N:19]([S:20]([CH3:21])(=[O:22])=[O:23])[CH2:24][CH2:25]5)[n:26][cH:27][c:28]4[O:29]3)[CH2:30][CH2:31]2)[n:32][cH:33]1
US20120295900A1,1,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([C:7]([NH:8][C:9]2=[N:10][C@:11]([CH3:12])([c:13]3[cH:14][c:15]([Br:49])[cH:25][cH:26][c:27]3[F:28])[C@@H:29]([F:30])[CH2:31][O:32]2)([c:33]2[cH:34][cH:35][cH:36][cH:37][cH:38]2)[c:39]2[cH:40][cH:41][c:42]([O:43][CH3:44])[cH:45][cH:46]2)[cH:47][cH:48]1.[NH2:16][c:17]1[cH:18][cH:19][cH:20][cH:21][c:22]1[O:23][CH3:24]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([C:7]([NH:8][C:9]2=[N:10][C@:11]([CH3:12])([c:13]3[cH:14][c:15]([NH:16][c:17]4[cH:18][cH:19][cH:20][cH:21][c:22]4[O:23][CH3:24])[cH:25][cH:26][c:27]3[F:28])[C@@H:29]([F:30])[CH2:31][O:32]2)([c:33]2[cH:34][cH:35][cH:36][cH:37][cH:38]2)[c:39]2[cH:40][cH:41][c:42]([O:43][CH3:44])[cH:45][cH:46]2)[cH:47][cH:48]1
US04992432,6,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([C@H:7]2[S:8][CH:9]=[C:10]([c:11]3[cH:12][cH:13][cH:14][cH:15][cH:16]3)[N:17]([CH2:18][CH2:19][N:20]([CH3:21])[CH3:22])[C:23](=[O:24])[C@H:25]2[O:26][C:30]([CH3:29])=[O:31])[cH:27][cH:28]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([C@H:7]2[S:8][CH:9]=[C:10]([c:11]3[cH:12][cH:13][cH:14][cH:15][cH:16]3)[N:17]([CH2:18][CH2:19][N:20]([CH3:21])[CH3:22])[C:23](=[O:24])[C@H:25]2[OH:26])[cH:27][cH:28]1
US20080051405A1,1,[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][CH2:11][C@@H:12]1[CH2:13][OH:14].[c:15]1([Br:30])[cH:16][cH:17][cH:18][c:19]([CH2:20][O:21][Si:22]([CH3:23])([CH3:24])[C:25]([CH3:26])([CH3:27])[CH3:28])[n:29]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][CH2:11][C@@H:12]1[CH2:13][O:14][c:15]1[cH:16][cH:17][cH:18][c:19]([CH2:20][O:21][Si:22]([CH3:23])([CH3:24])[C:25]([CH3:26])([CH3:27])[CH3:28])[n:29]1
US20050256132A1,2,[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][cH:7][c:8]1[C@H:9]([c:10]1[cH:11][cH:12][cH:13][c:14]2[cH:15][cH:16][cH:17][cH:18][c:19]12)[C@@:20]([CH3:21])([C:22]#[N:23])[C:24](=[O:25])[OH:40].[NH:26]1[CH2:27][CH2:28][N:29]([CH2:30][CH2:31][N:32]2[CH2:33][CH2:34][O:35][CH2:36][CH2:37]2)[CH2:38][CH2:39]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][cH:7][c:8]1[C@H:9]([c:10]1[cH:11][cH:12][cH:13][c:14]2[cH:15][cH:16][cH:17][cH:18][c:19]12)[C@@:20]([CH3:21])([C:22]#[N:23])[C:24](=[O:25])[N:26]1[CH2:27][CH2:28][N:29]([CH2:30][CH2:31][N:32]2[CH2:33][CH2:34][O:35][CH2:36][CH2:37]2)[CH2:38][CH2:39]1
US20070232607A1,1,[CH3:1][c:2]1[cH:3][cH:4][c:5]([O:6][c:7]2[cH:8][cH:9][c:10]([NH:11][c:12]3[n:13][cH:14][n:15][c:16]4[cH:17][cH:18][cH:19][c:20]([F:35])[c:29]34)[cH:30][c:31]2[CH3:32])[cH:33][n:34]1.[OH:21][C@@H:22]([CH3:23])[C:24](=[O:25])[N:26]([CH3:27])[CH3:28]>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([O:6][c:7]2[cH:8][cH:9][c:10]([NH:11][c:12]3[n:13][cH:14][n:15][c:16]4[cH:17][cH:18][cH:19][c:20]([O:21][C@@H:22]([CH3:23])[C:24](=[O:25])[N:26]([CH3:27])[CH3:28])[c:29]34)[cH:30][c:31]2[CH3:32])[cH:33][n:34]1
US20110166163A1,1,[CH3:1][CH2:2][c:3]1[cH:4][cH:5][c:6](-[c:7]2[cH:8][o:9][c:10]3[n:11][cH:12][n:13][c:14]([Cl:32])[c:29]23)[cH:30][cH:31]1.[OH:15][C@H:16]([CH3:17])[CH2:18][CH2:19][CH2:20][CH2:21][C:22](=[O:23])[O:24][C:25]([CH3:26])([CH3:27])[CH3:28]>>[CH3:1][CH2:2][c:3]1[cH:4][cH:5][c:6](-[c:7]2[cH:8][o:9][c:10]3[n:11][cH:12][n:13][c:14]([O:15][C@H:16]([CH3:17])[CH2:18][CH2:19][CH2:20][CH2:21][C:22](=[O:23])[O:24][C:25]([CH3:26])([CH3:27])[CH3:28])[c:29]23)[cH:30][cH:31]1
US08455521B2,2,[NH2:3][C@@H:4]1[CH2:5][N:6]([C:7](=[O:8])[O:9][CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[CH2:17][CH2:18][C@H:19]1[CH:20]1[CH2:21][CH2:22][CH2:23][CH2:24][CH2:25]1.[O:1]=[C:2]([O:26][c:27]1[cH:28][cH:29][c:30]([N+:31](=[O:32])[O-:33])[cH:34][cH:35]1)[Cl:36]>>[O:1]=[C:2]([NH:3][C@@H:4]1[CH2:5][N:6]([C:7](=[O:8])[O:9][CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[CH2:17][CH2:18][C@H:19]1[CH:20]1[CH2:21][CH2:22][CH2:23][CH2:24][CH2:25]1)[O:26][c:27]1[cH:28][cH:29][c:30]([N+:31](=[O:32])[O-:33])[cH:34][cH:35]1
US20110201577A1,2,[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]1=[CH:7][C@@H:8]([O:9][CH:10]([CH2:11][CH3:12])[CH2:13][CH3:14])[C@@H:15]([NH:16][C:17]([CH3:18])=[O:19])[C@H:20]([N:21]=[N+:22]=[N-:23])[C@@H:24]1[OH:25].[S:26]([CH3:27])(=[O:28])(=[O:29])[Cl:30]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]1=[CH:7][C@@H:8]([O:9][CH:10]([CH2:11][CH3:12])[CH2:13][CH3:14])[C@@H:15]([NH:16][C:17]([CH3:18])=[O:19])[C@H:20]([N:21]=[N+:22]=[N-:23])[C@@H:24]1[O:25][S:26]([CH3:27])(=[O:28])=[O:29]
US05622951,9,[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][cH:7][c:8]1[N:9]1[CH2:10][CH2:11][N:12]([CH:13]2[CH2:14][CH2:15][C:16]([c:17]3[cH:18][cH:19][c:20]([CH3:21])[cH:22][c:23]3[CH3:24])([OH:29])[CH2:25][CH2:26]2)[CH2:27][CH2:28]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][cH:7][c:8]1[N:9]1[CH2:10][CH2:11][N:12]([C@H:13]2[CH2:14][CH2:15][C@H:16]([c:17]3[cH:18][cH:19][c:20]([CH3:21])[cH:22][c:23]3[CH3:24])[CH2:25][CH2:26]2)[CH2:27][CH2:28]1
US20040259843A1,1,[CH:1]#[C:2][C@H:3]1[CH2:4][CH2:5][C@@H:6]([C:7]#[N:8])[N:9]1[C:10](=[O:11])[CH2:12][Cl:19].[NH2:13][CH:14]1[CH2:15][CH2:16][CH2:17][CH2:18]1>>[CH:1]#[C:2][C@H:3]1[CH2:4][CH2:5][C@@H:6]([C:7]#[N:8])[N:9]1[C:10](=[O:11])[CH2:12][NH:13][CH:14]1[CH2:15][CH2:16][CH2:17][CH2:18]1
US20100216802A1,1,[C:12](=[O:13])([C@H:14]([CH2:15][CH2:16][O:17][Si:18]([CH3:19])([CH3:20])[C:21]([CH3:22])([CH3:23])[CH3:24])[NH:25][C:26](=[O:27])[O:28][C:29]([CH3:30])([CH3:31])[CH3:32])[OH:33].[CH3:1][CH:2]([CH3:3])[CH:4]1[CH2:5][CH2:6][CH:7]([CH3:8])[CH2:9][CH:10]1[OH:11]>>[CH3:1][CH:2]([CH3:3])[C@@H:4]1[CH2:5][CH2:6][C@@H:7]([CH3:8])[CH2:9][C@H:10]1[O:11][C:12](=[O:13])[C@H:14]([CH2:15][CH2:16][O:17][Si:18]([CH3:19])([CH3:20])[C:21]([CH3:22])([CH3:23])[CH3:24])[NH:25][C:26](=[O:27])[O:28][C:29]([CH3:30])([CH3:31])[CH3:32]
US06117869,2,[O:1]=[C:2]([OH:3])[C@H:4]([CH2:5][CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1)[NH2:13].[S:14](=[O:15])(=[O:16])([c:17]1[cH:18][cH:19][c:20]2[c:21]([cH:22]1)[S:23][c:24]1[cH:25][cH:26][cH:27][cH:28][c:29]1[O:30]2)[Cl:31]>>[O:1]=[C:2]([OH:3])[C@H:4]([CH2:5][CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1)[NH:13][S:14](=[O:15])(=[O:16])[c:17]1[cH:18][cH:19][c:20]2[c:21]([cH:22]1)[S:23][c:24]1[cH:25][cH:26][cH:27][cH:28][c:29]1[O:30]2
US20090093454A1,1,[NH:19]1[CH2:20][CH2:21][O:22][CH2:23][CH2:24]1.[cH:1]1[cH:2][n:3][c:4]2[c:5]([cH:6]1)[CH2:7][CH2:8][C@H:9]1[CH2:10][CH2:11][CH2:12][N:13]([CH2:14][c:15]3[cH:16][n:17]4[c:18]([F:31])[cH:25][cH:26][cH:27][c:28]4[n:29]3)[C@@H:30]21>>[cH:1]1[cH:2][n:3][c:4]2[c:5]([cH:6]1)[CH2:7][CH2:8][C@H:9]1[CH2:10][CH2:11][CH2:12][N:13]([CH2:14][c:15]3[cH:16][n:17]4[c:18]([N:19]5[CH2:20][CH2:21][O:22][CH2:23][CH2:24]5)[cH:25][cH:26][cH:27][c:28]4[n:29]3)[C@@H:30]21
